Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
409,2.366,23.6,47400,NaN,NaN,NaN,,,,,,,,,,,,
411,2.309,23.4,47600,NaN,NaN,NaN,,,,,,,,,,,,
413,2.318,23.4,47900,NaN,NaN,NaN,,,,,,,,,,,,
415,2.232,23.0,48100,NaN,NaN,NaN,,,,,,,,,,,,
417,2.143,22.5,48300,NaN,NaN,NaN,,,,,,,,,,,,
419,2.161,22.6,48500,NaN,NaN,NaN,,,,,,,,,,,,
421,2.268,23.2,48800,NaN,NaN,NaN,,,,,,,,,,,,
423,2.192,22.8,49000,NaN,NaN,NaN,,,,,,,,,,,,
425,2.154,22.6,49200,NaN,NaN,NaN,,,,,,,,,,,,
427,2.229,23.0,49500,NaN,NaN,NaN,,,,,,,,,,,,
429,2.184,22.8,49700,NaN,NaN,NaN,,,,,,,,,,,,
431,2.131,22.5,49900,NaN,NaN,NaN,,,,,,,,,,,,
433,2.144,22.6,50200,NaN,NaN,NaN,,,,,,,,,,,,
435,2.166,22.7,50400,NaN,NaN,NaN,,,,,,,,,,,,
437,2.115,22.4,50600,NaN,NaN,NaN,,,,,,,,,,,,
439,2.356,23.6,50900,NaN,NaN,NaN,,,,,,,,,,,,
441,2.264,23.2,51100,NaN,NaN,NaN,,,,,,,,,,,,
443,2.248,23.1,51300,NaN,NaN,NaN,,,,,,,,,,,,
445,2.294,23.3,51600,NaN,NaN,NaN,,,,,,,,,,,,
447,2.337,23.5,51800,NaN,NaN,NaN,,,,,,,,,,,,
449,2.269,23.2,52000,NaN,NaN,NaN,,,,,,,,,,,,
451,2.221,22.9,52200,NaN,NaN,NaN,,,,,,,,,,,,
453,2.295,23.3,52500,NaN,NaN,NaN,,,,,,,,,,,,
455,2.024,21.9,52700,NaN,NaN,NaN,,,,,,,,,,,,
457,2.019,21.9,52900,NaN,NaN,NaN,,,,,,,,,,,,
459,2.139,22.5,53200,NaN,NaN,NaN,,,,,,,,,,,,
461,2.190,22.8,53400,NaN,NaN,NaN,,,,,,,,,,,,
463,2.236,23.0,53600,NaN,NaN,NaN,,,,,,,,,,,,
465,2.170,22.7,53900,NaN,NaN,NaN,,,,,,,,,,,,
467,2.442,24.0,54100,NaN,NaN,NaN,,,,,,,,,,,,
469,2.397,23.8,54300,NaN,NaN,NaN,,,,,,,,,,,,
471,2.165,22.7,54600,NaN,NaN,NaN,,,,,,,,,,,,
473,2.224,23.0,54800,NaN,NaN,NaN,,,,,,,,,,,,
475,2.070,22.2,55000,NaN,NaN,NaN,,,,,,,,,,,,
477,2.229,23.0,55200,NaN,NaN,NaN,,,,,,,,,,,,
479,2.161,22.6,55500,NaN,NaN,NaN,,,,,,,,,,,,
481,2.103,22.3,55700,NaN,NaN,NaN,,,,,,,,,,,,
483,2.185,22.8,55900,NaN,NaN,NaN,,,,,,,,,,,,
485,2.197,22.8,56200,NaN,NaN,NaN,,,,,,,,,,,,
487,2.131,22.5,56400,NaN,NaN,NaN,,,,,,,,,,,,
489,2.008,21.8,56600,NaN,NaN,NaN,,,,,,,,,,,,
491,2.098,22.3,56900,NaN,NaN,NaN,,,,,,,,,,,,
493,2.142,22.5,57100,NaN,NaN,NaN,,,,,,,,,,,,
495,2.149,22.6,57300,NaN,NaN,NaN,,,,,,,,,,,,
497,2.101,22.3,57600,NaN,NaN,NaN,,,,,,,,,,,,
499,2.088,22.3,57800,NaN,NaN,NaN,,,,,,,,,,,,
501,2.059,22.1,58000,NaN,NaN,NaN,,,,,,,,,,,,
503,2.132,22.5,58300,NaN,NaN,NaN,,,,,,,,,,,,
505,2.155,22.6,58500,NaN,NaN,NaN,,,,,,,,,,,,
507,2.071,22.2,58700,NaN,NaN,NaN,,,,,,,,,,,,
509,2.233,23.0,58900,NaN,NaN,NaN,,,,,,,,,,,,
511,2.230,23.0,59200,NaN,NaN,NaN,,,,,,,,,,,,
513,2.123,22.4,59400,NaN,NaN,NaN,,,,,,,,,,,,
515,2.194,22.8,59600,NaN,NaN,NaN,,,,,,,,,,,,
517,2.310,23.4,59900,NaN,NaN,NaN,,,,,,,,,,,,
519,2.411,23.9,60100,NaN,NaN,NaN,,,,,,,,,,,,
521,2.176,22.7,60300,NaN,NaN,NaN,,,,,,,,,,,,
