Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
563.0,0.291,7.4,30668,33087,33102,459,,,,,,,,,,,,
565.0,0.296,7.6,30777,33211,33225,458,,,,,,,,,,,,
567.0,0.298,7.6,30885,33334,33348,456,,,,,,,,,,,,
569.0,0.291,7.4,30993,33458,33470,454,,,,,,,,,,,,
571.0,0.297,7.6,31102,33581,33591,451,,,,,,,,,,,,
573.0,0.306,7.9,31210,33693,33700,449,,,,,,,,,,,,
575.0,0.307,7.9,31326,33770,33778,450,,,,,,,,,,,,
577.0,0.298,7.6,31442,33846,33855,450,,,,,,,,,,,,
579.0,0.326,8.4,31558,33923,33932,451,,,,,,,,,,,,
581.0,0.303,7.8,31674,33999,34009,452,,,,,,,,,,,,
583.0,0.307,7.9,31790,34075,34086,452,,,,,,,,,,,,
585.0,0.270,6.8,31906,34152,34162,453,,,,,,,,,,,,
587.0,0.316,8.2,32022,34228,34238,453,,,,,,,,,,,,
589.0,0.266,6.7,32138,34304,34315,454,,,,,,,,,,,,
591.0,0.282,7.1,32254,34381,34391,454,,,,,,,,,,,,
593.0,0.285,7.2,32370,34457,34467,455,,,,,,,,,,,,
595.0,0.285,7.2,32486,34533,34543,455,,,,,,,,,,,,
597.0,0.288,7.3,32602,34609,34619,455,,,,,,,,,,,,
599.0,0.293,7.5,32718,34686,34695,455,,,,,,,,,,,,
605.0,0.271,6.8,33066,34914,34923,455,,,,,,,,,,,,
607.0,0.259,6.5,33182,34991,34999,455,,,,,,,,,,,,
609.0,0.266,6.7,33298,35067,35075,455,,,,,,,,,,,,
611.0,0.260,6.5,33414,35143,35151,454,,,,,,,,,,,,
613.0,0.271,6.8,33530,35219,35226,454,,,,,,,,,,,,
615.0,0.261,6.5,33646,35295,35302,453,,,,,,,,,,,,
617.0,0.292,7.4,33762,35372,35377,452,,,,,,,,,,,,
619.0,0.266,6.7,33878,35448,35453,451,,,,,,,,,,,,
621.0,0.268,6.7,33994,35524,35528,450,,,,,,,,,,,,
623.0,0.274,6.9,34110,35600,35604,448,,,,,,,,,,,,
625.0,0.274,6.9,34226,35676,35679,447,,,,,,,,,,,,
627.0,0.282,7.1,34342,35752,35754,445,,,,,,,,,,,,
629.0,0.253,6.3,34458,35829,35829,442,,,,,,,,,,,,
631.0,0.264,6.6,34574,35905,35903,439,,,,,,,,,,,,
633.0,0.252,6.3,34690,NaN,NaN,NaN,,,,,,,,,,,,
635.0,0.262,6.6,34902,NaN,NaN,NaN,,,,,,,,,,,,
637.0,0.266,6.7,35114,NaN,NaN,NaN,,,,,,,,,,,,
639.0,0.258,6.4,35326,NaN,NaN,NaN,,,,,,,,,,,,
641.0,0.263,6.6,35538,NaN,NaN,NaN,,,,,,,,,,,,
643.0,0.252,6.3,35750,NaN,NaN,NaN,,,,,,,,,,,,
645.0,0.272,6.9,35962,NaN,NaN,NaN,,,,,,,,,,,,
647.0,0.286,7.3,36174,NaN,NaN,NaN,,,,,,,,,,,,
649.0,0.251,6.2,36386,NaN,NaN,NaN,,,,,,,,,,,,
651.0,0.289,7.3,36598,NaN,NaN,NaN,,,,,,,,,,,,
653.0,0.265,6.7,36810,NaN,NaN,NaN,,,,,,,,,,,,
655.0,0.260,6.5,37022,NaN,NaN,NaN,,,,,,,,,,,,
657.0,0.278,7.0,37234,NaN,NaN,NaN,,,,,,,,,,,,
659.0,0.300,7.7,37446,NaN,NaN,NaN,,,,,,,,,,,,
661.0,0.315,8.1,37658,NaN,NaN,NaN,,,,,,,,,,,,
663.0,0.277,7.0,37870,NaN,NaN,NaN,,,,,,,,,,,,
665.3,0.275,6.9,38109,NaN,NaN,NaN,,,,,,,,,,,,
667.3,0.284,7.2,38321,NaN,NaN,NaN,,,,,,,,,,,,
669.3,0.296,7.6,38533,NaN,NaN,NaN,,,,,,,,,,,,
671.3,0.307,7.9,38745,NaN,NaN,NaN,,,,,,,,,,,,
673.3,0.299,7.6,38957,NaN,NaN,NaN,,,,,,,,,,,,
675.3,0.267,6.7,39169,NaN,NaN,NaN,,,,,,,,,,,,
677.3,0.253,6.3,39381,NaN,NaN,NaN,,,,,,,,,,,,
679.3,0.284,7.2,39593,NaN,NaN,NaN,,,,,,,,,,,,
681.3,0.283,7.2,39805,NaN,NaN,NaN,,,,,,,,,,,,
683.3,0.263,6.6,40017,NaN,NaN,NaN,,,,,,,,,,,,
685.3,0.263,6.6,40195,NaN,NaN,NaN,,,,,,,,,,,,
687.3,0.252,6.3,40373,NaN,NaN,NaN,,,,,,,,,,,,
689.3,0.265,6.7,40552,NaN,NaN,NaN,,,,,,,,,,,,
691.3,0.259,6.5,40730,NaN,NaN,NaN,,,,,,,,,,,,
693.3,0.258,6.4,40908,NaN,NaN,NaN,,,,,,,,,,,,
695.3,0.252,6.3,41086,NaN,NaN,NaN,,,,,,,,,,,,
697.3,0.267,6.7,41265,NaN,NaN,NaN,,,,,,,,,,,,
699.3,0.313,8.1,41443,NaN,NaN,NaN,,,,,,,,,,,,
701.3,0.299,7.6,41621,NaN,NaN,NaN,,,,,,,,,,,,
703.3,0.305,7.8,41799,NaN,NaN,NaN,,,,,,,,,,,,
705.3,0.317,8.2,41977,NaN,NaN,NaN,,,,,,,,,,,,
707.3,0.293,7.5,42156,NaN,NaN,NaN,,,,,,,,,,,,
709.3,0.288,7.3,42334,NaN,NaN,NaN,,,,,,,,,,,,
711.3,0.296,7.6,42512,NaN,NaN,NaN,,,,,,,,,,,,
713.3,0.300,7.7,42690,NaN,NaN,NaN,,,,,,,,,,,,
715.3,0.294,7.5,42869,NaN,NaN,NaN,,,,,,,,,,,,
717.3,0.292,7.4,43047,NaN,NaN,NaN,,,,,,,,,,,,
719.3,0.281,7.1,43225,NaN,NaN,NaN,,,,,,,,,,,,
721.3,0.283,7.2,43403,NaN,NaN,NaN,,,,,,,,,,,,
723.3,0.290,7.4,43581,NaN,NaN,NaN,,,,,,,,,,,,
725.3,0.292,7.4,43760,NaN,NaN,NaN,,,,,,,,,,,,
727.3,0.307,7.9,43938,NaN,NaN,NaN,,,,,,,,,,,,
729.3,0.286,7.3,44116,NaN,NaN,NaN,,,,,,,,,,,,
731.3,0.273,6.9,44294,NaN,NaN,NaN,,,,,,,,,,,,
733.3,0.270,6.8,44473,NaN,NaN,NaN,,,,,,,,,,,,
735.3,0.266,6.7,44651,NaN,NaN,NaN,,,,,,,,,,,,
737.3,0.313,8.1,44829,NaN,NaN,NaN,,,,,,,,,,,,
739.3,0.314,8.1,44972,NaN,NaN,NaN,,,,,,,,,,,,
741.3,0.317,8.2,45114,NaN,NaN,NaN,,,,,,,,,,,,
743.3,0.300,7.7,45257,NaN,NaN,NaN,,,,,,,,,,,,
745.3,0.290,7.4,45400,NaN,NaN,NaN,,,,,,,,,,,,
747.3,0.292,7.4,45542,NaN,NaN,NaN,,,,,,,,,,,,
749.3,0.298,7.6,45685,NaN,NaN,NaN,,,,,,,,,,,,
751.3,0.293,7.5,45827,NaN,NaN,NaN,,,,,,,,,,,,
753.3,0.285,7.2,45970,NaN,NaN,NaN,,,,,,,,,,,,
755.3,0.291,7.4,46113,NaN,NaN,NaN,,,,,,,,,,,,
757.3,0.276,7.0,46255,NaN,NaN,NaN,,,,,,,,,,,,
759.3,0.246,6.1,46398,NaN,NaN,NaN,,,,,,,,,,,,
761.3,0.282,7.1,46541,NaN,NaN,NaN,,,,,,,,,,,,
763.3,0.291,7.4,46683,NaN,NaN,NaN,,,,,,,,,,,,
765.3,0.279,7.1,46826,NaN,NaN,NaN,,,,,,,,,,,,
767.3,0.276,7.0,46969,NaN,NaN,NaN,,,,,,,,,,,,
771.3,0.293,7.5,47254,NaN,NaN,NaN,,,,,,,,,,,,
773.3,0.262,6.6,47396,NaN,NaN,NaN,,,,,,,,,,,,
775.3,0.280,7.1,47539,NaN,NaN,NaN,,,,,,,,,,,,
779.3,0.267,6.7,48142,NaN,NaN,NaN,,,,,,,,,,,,
781.3,0.286,7.3,48443,NaN,NaN,NaN,,,,,,,,,,,,
783.3,0.286,7.3,48745,NaN,NaN,NaN,,,,,,,,,,,,
785.3,0.293,7.5,49046,NaN,NaN,NaN,,,,,,,,,,,,
787.3,0.278,7.0,49347,NaN,NaN,NaN,,,,,,,,,,,,
789.3,0.295,7.5,49649,NaN,NaN,NaN,,,,,,,,,,,,
791.3,0.303,7.8,49950,NaN,NaN,NaN,,,,,,,,,,,,
793.3,0.334,8.7,50252,NaN,NaN,NaN,,,,,,,,,,,,
795.3,0.297,7.6,50553,NaN,NaN,NaN,,,,,,,,,,,,
797.3,0.291,7.4,50854,NaN,NaN,NaN,,,,,,,,,,,,
799.3,0.306,7.8,51156,NaN,NaN,NaN,,,,,,,,,,,,
