Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
1675,3.545,24.81,153913,NaN,NaN,NaN,,,,,,,,,,,,
1680,3.804,25.6,154565,NaN,NaN,NaN,,,,,,,,,,,,
1685,3.804,25.6,155217,NaN,NaN,NaN,,,,,,,,,,,,
1690,3.740,25.41,155870,NaN,NaN,NaN,,,,,,,,,,,,
1695,3.748,25.43,156522,NaN,NaN,NaN,,,,,,,,,,,,
1700,3.555,24.84,157174,NaN,NaN,NaN,,,,,,,,,,,,
1705,3.821,25.65,157826,NaN,NaN,NaN,,,,,,,,,,,,
1710,4.051,26.29,158478,NaN,NaN,NaN,,,,,,,,,,,,
1715,3.491,24.64,159130,NaN,NaN,NaN,,,,,,,,,,,,
1720,3.998,26.15,159783,NaN,NaN,NaN,,,,,,,,,,,,
1725,4.145,26.55,160435,NaN,NaN,NaN,,,,,,,,,,,,
1730,3.860,25.76,161087,NaN,NaN,NaN,,,,,,,,,,,,
1735,3.936,25.97,161739,NaN,NaN,NaN,,,,,,,,,,,,
1740,3.856,25.75,162391,NaN,NaN,NaN,,,,,,,,,,,,
1745,3.899,25.87,163043,NaN,NaN,NaN,,,,,,,,,,,,
1750,3.759,25.46,163696,NaN,NaN,NaN,,,,,,,,,,,,
1755,4.196,26.69,164348,NaN,NaN,NaN,,,,,,,,,,,,
1760,3.695,25.27,165000,NaN,NaN,NaN,,,,,,,,,,,,
1765,4.030,26.24,165852,NaN,NaN,NaN,,,,,,,,,,,,
1770,3.919,25.93,166704,NaN,NaN,NaN,,,,,,,,,,,,
