Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,Notes:
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
743.5,0.513,13.9,20251,20399,20542,233,,,,,,,,,,,,,
745.5,0.496,13.4,20295,20469,20612,211,,,,,,,,,,,,,
751.5,0.507,13.8,20430,20639,20777,196,,,,,,,,,,,,,
753.5,0.493,13.3,20475,20683,20816,212,,,,,,,,,,,,,
755.5,0.494,13.4,20521,20726,20855,225,,,,,,,,,,,,,
757.5,0.495,13.4,20566,20769,20895,238,,,,,,,,,,,,,
759.5,0.503,13.6,20612,20813,20934,250,,,,,,,,,,,,,
761.5,0.491,13.3,20658,20856,20974,261,,,,,,,,,,,,,
763.5,0.493,13.4,20703,20899,21014,271,,,,,,,,,,,,,
765.5,0.487,13.2,20749,20942,21053,281,,,,,,,,,,,,,
767.5,0.485,13.1,20794,20985,21093,290,,,,,,,,,,,,,
769.5,0.496,13.4,20840,21028,21133,298,,,,,,,,,,,,,
771.5,0.486,13.2,20885,21071,21172,306,,,,,,,,,,,,,
773.5,0.479,12.9,20931,21114,21212,313,,,,,,,,,,,,,
775.5,0.477,12.9,20977,21157,21252,320,,,,,,,,,,,,,
777.5,0.477,12.9,21022,21200,21292,326,,,,,,,,,,,,,
779.5,0.476,12.9,21068,21243,21331,332,,,,,,,,,,,,,
781.5,0.470,12.7,21113,21286,21371,337,,,,,,,,,,,,,
783.5,0.476,12.8,21159,21329,21411,342,,,,,,,,,,,,,
785.5,0.481,13.0,21204,21372,21451,347,,,,,,,,,,,,,
789.5,0.455,12.2,21296,21458,21530,355,,,,,,,,,,,,,
793.5,0.479,12.9,21387,21543,21610,362,,,,,,,,,,,,,
797.5,0.485,13.1,21478,21629,21690,368,,,,,,,,,,,,,
801.5,0.489,13.2,21569,21715,21769,373,,,,,,,,,,,,,
805.5,0.486,13.2,21660,21800,21849,376,,,,,,,,,,,,,
807.5,0.477,12.9,21706,21843,21889,378,,,,,,,,,,,,,
809.5,0.492,13.3,21751,21886,21929,379,,,,,,,,,,,,,
813.5,0.478,12.9,21842,21972,22008,380,,,,,,,,,,,,,
817.5,0.436,11.7,21933,22057,22088,380,,,,,,,,,,,,,
821.5,0.471,12.7,22025,22143,22168,379,,,,,,,,,,,,,
825.5,0.491,13.3,22116,22228,22248,377,,,,,,,,,,,,,
829.5,0.496,13.4,22207,22314,22328,373,,,,,,,,,,,,,
833.5,0.515,14.0,22298,22399,22408,369,,,,,,,,,,,,,
837.5,0.487,13.2,22389,22485,22487,363,,,,,,,,,,,,,
841.5,0.483,13.1,22480,22570,22567,355,,,,,,,,,,,,,
845.5,0.498,13.5,22571,22655,22647,347,,,,,,,,,,,,,
847.5,0.480,13.0,22617,22698,22687,342,,,,,,,,,,,,,
849.5,0.487,13.2,22662,22740,22727,337,,,,,,,,,,,,,
853.5,0.474,12.8,22754,22825,22808,325,,,,,,,,,,,,,
857.5,0.501,13.6,22845,22911,22888,311,,,,,,,,,,,,,
861.5,0.500,13.6,22936,22995,22968,294,,,,,,,,,,,,,
865.5,0.479,12.9,23027,23080,23048,275,,,,,,,,,,,,,
869.5,0.496,13.4,23118,23165,23129,252,,,,,,,,,,,,,
875.5,0.457,12.3,23252,23336,23297,269,,,,,,,,,,,,,
879.5,0.446,12.0,23339,23480,23440,308,,,,,,,,,,,,,
883.5,0.474,12.8,23426,23624,23583,340,,,,,,,,,,,,,
887.5,0.475,12.8,23514,23768,23727,368,,,,,,,,,,,,,
891.5,0.476,12.8,23601,23911,23871,391,,,,,,,,,,,,,
895.5,0.482,13.0,23689,24054,24015,411,,,,,,,,,,,,,
899.5,0.480,13.0,23776,24198,24159,429,,,,,,,,,,,,,
903.5,0.466,12.6,23864,24341,24303,445,,,,,,,,,,,,,
907.5,0.471,12.7,23956,24484,24447,458,,,,,,,,,,,,,
911.5,0.486,13.1,24080,24627,24591,469,,,,,,,,,,,,,
915.5,0.492,13.3,24204,24770,24735,479,,,,,,,,,,,,,
919.5,0.478,12.9,24328,24913,24879,487,,,,,,,,,,,,,
923.5,0.513,13.9,24452,25056,25024,494,,,,,,,,,,,,,
927.5,0.503,13.6,24577,25199,25168,499,,,,,,,,,,,,,
931.5,0.494,13.4,24701,25341,25312,503,,,,,,,,,,,,,
935.5,0.506,13.7,24825,25484,25456,505,,,,,,,,,,,,,
939.5,0.488,13.2,24949,25627,25601,506,,,,,,,,,,,,,
943.5,0.471,12.7,25073,25770,25745,505,,,,,,,,,,,,,
947.5,0.482,13.0,25198,25912,25890,503,,,,,,,,,,,,,
951.5,0.478,12.9,25322,26055,26034,500,,,,,,,,,,,,,
955.5,0.467,12.6,25446,26197,26179,495,,,,,,,,,,,,,
959.5,0.476,12.9,25570,26340,26323,489,,,,,,,,,,,,,
963.5,0.487,13.2,25695,26482,26468,482,,,,,,,,,,,,,
967.5,0.474,12.8,25819,26624,26613,472,,,,,,,,,,,,,
971.5,0.513,13.9,25943,26767,26758,461,,,,,,,,,,,,,
975.5,0.487,13.2,26067,26909,26903,448,,,,,,,,,,,,,
979.5,0.492,13.3,26191,27050,27048,433,,,,,,,,,,,,,
985.5,0.522,14.2,25732,27242,27241,412,,,,,,,,,,,,,
989.5,0.498,13.5,25844,27345,27347,440,,,,,,,,,,,,,
993.5,0.521,14.2,25957,27449,27454,465,,,,,,,,,,,,,
997.5,0.529,14.4,26069,27554,27561,490,,,,,,,,,,,,,
1001.5,0.517,14.1,26181,27659,27668,513,,,,,,,,,,,,,
1005.5,0.538,14.7,26294,27765,27775,535,,,,,,,,,,,,,
1009.5,0.529,14.4,26406,27871,27882,556,,,,,,,,,,,,,
1013.5,0.502,13.6,26518,27977,27990,576,,,,,,,,,,,,,
1017.5,0.534,14.6,26630,28083,28097,596,,,,,,,,,,,,,
1021.5,0.550,15.0,26743,28189,28204,614,,,,,,,,,,,,,
1025.5,0.539,14.7,26855,28295,28312,633,,,,,,,,,,,,,
1029.5,0.551,15.1,26967,28402,28419,651,,,,,,,,,,,,,
1033.5,0.530,14.4,27080,28508,28527,668,,,,,,,,,,,,,
1037.5,0.522,14.2,27192,28614,28635,685,,,,,,,,,,,,,
1041.5,0.539,14.7,27309,28721,28742,701,,,,,,,,,,,,,
1045.5,0.538,14.7,27457,28828,28850,717,,,,,,,,,,,,,
1049.5,0.521,14.2,27606,28934,28958,733,,,,,,,,,,,,,
1053.5,0.537,14.7,27755,29041,29065,749,,,,,,,,,,,,,
1061.5,0.516,14.0,28052,29254,29281,778,,,,,,,,,,,,,
1073.5,0.527,14.3,28498,29574,29604,821,,,,,,,,,,,,,
1085.5,0.530,14.5,28944,29895,29927,862,,,,,,,,,,,,,
1097.5,0.554,15.2,29390,NaN,NaN,NaN,,,,,,,,,,,,,
1109.5,0.539,14.7,29836,NaN,NaN,NaN,,,,,,,,,,,,,
1121.5,0.529,14.4,30282,NaN,NaN,NaN,,,,,,,,,,,,,
1133.5,0.575,15.8,30728,NaN,NaN,NaN,,,,,,,,,,,,,
1145.5,0.542,14.8,31174,NaN,NaN,NaN,,,,,,,,,,,,,
1157.5,0.546,14.9,31614,NaN,NaN,NaN,,,,,,,,,,,,,
1169.5,0.569,15.6,32040,NaN,NaN,NaN,,,,,,,,,,,,,
1181.5,0.557,15.2,32466,NaN,NaN,NaN,,,,,,,,,,,,,
1193.5,0.546,14.9,32892,NaN,NaN,NaN,,,,,,,,,,,,,
1205.5,0.552,15.1,33318,NaN,NaN,NaN,,,,,,,,,,,,,
1217.5,0.536,14.6,33744,NaN,NaN,NaN,,,,,,,,,,,,,
1229.5,0.566,15.5,34170,NaN,NaN,NaN,,,,,,,,,,,,,
1241.5,0.559,15.3,34580,NaN,NaN,NaN,,,,,,,,,,,,,
1253.5,0.549,15.0,34980,NaN,NaN,NaN,,,,,,,,,,,,,
1265.5,0.554,15.1,35380,NaN,NaN,NaN,,,,,,,,,,,,,
1273.5,0.541,14.8,35647,NaN,NaN,NaN,,,,,,,,,,,,,
1277.5,0.549,15.0,35780,NaN,NaN,NaN,,,,,,,,,,,,,
1281.5,0.546,14.9,35913,NaN,NaN,NaN,,,,,,,,,,,,,
1285.5,0.549,15.0,36047,NaN,NaN,NaN,,,,,,,,,,,,,
1289.5,0.576,15.8,36180,NaN,NaN,NaN,,,,,,,,,,,,,
1293.5,0.580,15.9,36313,NaN,NaN,NaN,,,,,,,,,,,,,
1297.5,0.580,15.9,36447,NaN,NaN,NaN,,,,,,,,,,,,,
1301.5,0.587,16.1,36580,NaN,NaN,NaN,,,,,,,,,,,,,
1305.5,0.580,15.9,36713,NaN,NaN,NaN,,,,,,,,,,,,,
1309.5,0.569,15.6,36850,NaN,NaN,NaN,,,,,,,,,,,,,
1313.5,0.555,15.2,37007,NaN,NaN,NaN,,,,,,,,,,,,,
1317.5,0.548,15.0,37165,NaN,NaN,NaN,,,,,,,,,,,,,
1321.5,0.541,14.8,37322,NaN,NaN,NaN,,,,,,,,,,,,,
1325.5,0.543,14.8,37480,NaN,NaN,NaN,,,,,,,,,,,,,
1329.5,0.534,14.5,37637,NaN,NaN,NaN,,,,,,,,,,,,,
1333.5,0.528,14.4,37795,NaN,NaN,NaN,,,,,,,,,,,,,
1337.5,0.532,14.5,37953,NaN,NaN,NaN,,,,,,,,,,,,,
1341.5,0.549,15.0,38110,NaN,NaN,NaN,,,,,,,,,,,,,
1345.5,0.539,14.7,38268,NaN,NaN,NaN,,,,,,,,,,,,,
1357.5,0.549,15.0,38740,NaN,NaN,NaN,,,,,,,,,,,,,
1361.5,0.546,14.9,38898,NaN,NaN,NaN,,,,,,,,,,,,,
1365.5,0.540,14.7,39055,NaN,NaN,NaN,,,,,,,,,,,,,
1369.5,0.511,13.9,39213,NaN,NaN,NaN,,,,,,,,,,,,,
1373.5,0.520,14.1,39370,NaN,NaN,NaN,,,,,,,,,,,,,
1377.5,0.557,15.2,39528,NaN,NaN,NaN,,,,,,,,,,,,,
1381.5,0.528,14.4,39685,NaN,NaN,NaN,,,,,,,,,,,,,
1385.5,0.524,14.3,39843,NaN,NaN,NaN,,,,,,,,,,,,,
1389.5,0.519,14.1,40001,NaN,NaN,NaN,,,,,,,,,,,,,
1393.5,0.528,14.4,40158,NaN,NaN,NaN,,,,,,,,,,,,,
1397.5,0.531,14.5,40316,NaN,NaN,NaN,,,,,,,,,,,,,
1401.5,0.534,14.6,40473,NaN,NaN,NaN,,,,,,,,,,,,,
1405.5,0.521,14.2,40631,NaN,NaN,NaN,,,,,,,,,,,,,
1409.5,0.510,13.9,40788,NaN,NaN,NaN,,,,,,,,,,,,,
1413.5,0.518,14.1,40946,NaN,NaN,NaN,,,,,,,,,,,,,
1417.5,0.534,14.6,41103,NaN,NaN,NaN,,,,,,,,,,,,,
1421.5,0.525,14.3,41261,NaN,NaN,NaN,,,,,,,,,,,,,
