Proxy depth,d18O,Temperature,Published age,Age model error
(m),(VSMOW),(°„C),(yr BP),"(yr, 1¶“)"
1398.13,-35.26,-32.1,8830,30
1400.06,-34.53,-29.9,8850,30.5
1402.05,-34.41,-29.6,8870,30.5
1403.97,-34.16,-28.8,8890,31
1405.98,-33.93,-28.1,8910,31
1407.91,-34.47,-29.7,8930,31
1409.84,-33.95,-28.1,8950,31.5
1411.73,-34.84,-30.9,8970,31.5
1413.53,-34.70,-30.4,8990,32
1415.34,-35.26,-32.1,9010,32
1417.16,-34.91,-31.1,9030,32
1419.05,-34.78,-30.7,9050,32.5
1420.98,-34.77,-30.6,9070,32.5
1422.92,-34.99,-31.3,9090,33
1424.97,-33.58,-27.0,9110,33
1426.85,-34.57,-30.0,9130,33
1428.67,-34.40,-29.5,9150,33.5
1430.57,-34.44,-29.6,9170,33.5
1432.43,-34.99,-31.3,9190,34
1434.27,-34.76,-30.6,9210,34
1436.08,-35.04,-31.5,9230,34
1437.72,-35.86,-34.0,9250,34.5
1439.39,-34.91,-31.1,9270,34.5
1441.25,-34.45,-29.7,9290,35
1443.06,-34.50,-29.8,9310,35
1445.06,-34.46,-29.7,9330,35
1447.04,-34.83,-30.8,9350,35.5
1449.05,-34.19,-28.9,9370,35.5
1450.97,-34.40,-29.5,9390,36
1452.76,-34.62,-30.2,9410,36
1454.68,-34.33,-29.3,9430,36
1456.59,-34.36,-29.4,9450,36.5
1458.24,-34.60,-30.1,9470,36.5
1460.15,-34.44,-29.6,9490,37
1462.00,-34.53,-29.9,9510,37
1463.77,-35.46,-32.8,9530,37
1465.54,-34.63,-30.2,9550,37.5
1467.32,-34.43,-29.6,9570,37.5
1469.14,-34.71,-30.5,9590,38
1470.96,-34.81,-30.8,9610,38
1472.61,-34.88,-31.0,9630,38.5
1474.41,-34.39,-29.5,9650,38.5
1476.24,-34.04,-28.4,9670,38.5
1477.99,-34.99,-31.3,9690,39
1479.84,-34.58,-30.1,9710,39
1481.59,-34.91,-31.1,9730,39.5
1483.37,-35.01,-31.4,9750,39.5
1485.15,-35.10,-31.7,9770,39.5
1486.85,-34.25,-29.1,9790,40
1488.60,-34.81,-30.8,9810,40
1490.37,-34.63,-30.2,9830,40.5
1492.21,-34.63,-30.2,9850,40.5
1493.97,-34.60,-30.1,9870,40.5
1495.61,-34.73,-30.5,9890,41
1497.29,-35.43,-32.7,9910,41
1498.83,-34.05,-28.5,9930,41.5
1500.59,-34.84,-30.9,9950,41.5
1502.27,-34.60,-30.1,9970,41.5
1503.97,-34.82,-30.8,9990,42
1505.61,-35.24,-32.1,10010,42
1507.15,-35.30,-32.3,10030,42.5
1508.79,-35.40,-32.6,10050,42.5
1510.42,-35.42,-32.6,10070,42.5
1512.09,-34.70,-30.4,10090,43
1513.65,-35.65,-33.3,10110,43
1515.19,-34.90,-31.0,10130,43.5
1516.97,-34.69,-30.4,10150,43.5
1518.61,-35.37,-32.5,10170,43.5
1520.08,-35.30,-32.3,10190,44
1521.58,-35.52,-32.9,10210,44
1523.10,-35.70,-33.5,10230,44.5
1524.77,-35.49,-32.8,10250,44.5
1526.39,-35.46,-32.8,10270,44.5
1528.12,-35.23,-32.1,10290,44.5
1529.59,-35.58,-33.1,10310,44.5
1531.17,-35.26,-32.1,10330,44.5
1532.58,-36.41,-35.7,10350,44.5
1534.09,-36.06,-34.6,10370,45
1535.68,-35.47,-32.8,10390,45
1537.19,-35.10,-31.7,10410,45
1538.72,-35.17,-31.9,10430,45
1540.36,-35.22,-32.0,10450,45
1541.96,-35.53,-33.0,10470,45
1543.42,-35.92,-34.2,10490,45
1544.88,-35.64,-33.3,10510,45.5
1546.40,-36.31,-35.3,10530,45.5
1547.96,-35.82,-33.9,10550,45.5
1549.47,-35.47,-32.8,10570,45.5
1551.05,-35.44,-32.7,10590,45.5
1552.59,-36.09,-34.7,10610,45.5
1554.17,-35.83,-33.9,10630,45.5
1555.62,-36.27,-35.2,10650,46
1557.24,-35.71,-33.5,10670,46
1558.69,-36.14,-34.8,10690,46
1560.21,-36.10,-34.7,10710,46
1561.62,-35.62,-33.2,10730,46
1563.11,-36.19,-35.0,10750,46
1564.54,-35.99,-34.4,10770,46
1566.09,-36.65,-36.4,10790,46.5
1567.47,-36.54,-36.0,10810,46.5
1568.99,-36.33,-35.4,10830,46.5
1570.46,-36.70,-36.5,10850,46.5
1571.88,-36.44,-35.7,10870,46.5
1573.28,-36.80,-36.8,10890,46.5
1574.78,-36.44,-35.7,10910,46.5
1576.13,-36.87,-37.1,10930,47
1577.52,-36.93,-37.2,10950,47
1579.00,-36.12,-34.8,10970,47
1580.39,-36.34,-35.4,10990,47
1581.87,-36.37,-35.5,11010,47
1583.33,-36.15,-34.9,11030,47
1584.66,-37.32,-38.4,11050,47
1586.08,-36.88,-37.1,11070,47.5
1587.49,-36.34,-35.4,11090,47.5
1588.84,-37.56,-39.2,11110,47.5
1590.26,-36.66,-36.4,11130,47.5
1591.63,-36.88,-37.1,11150,47.5
1592.90,-36.69,-36.5,11170,47.5
1594.24,-37.13,-37.8,11190,47.5
1595.66,-36.38,-35.6,11210,47.5
1597.11,-36.02,-34.5,11230,48
1598.57,-36.11,-34.7,11250,48
1599.88,-36.96,-37.3,11270,48
1601.20,-37.01,-37.5,11290,48
1602.57,-36.90,-37.1,11310,48
1604.01,-37.35,-38.5,11330,48
1605.31,-38.02,-40.6,11350,48
1606.48,-37.88,-40.1,11370,48.5
1607.56,-37.82,-40.0,11390,48.5
1608.75,-37.44,-38.8,11410,48.5
1609.81,-38.17,-41.0,11430,48.5
1611.14,-36.91,-37.2,11450,48.5
1612.43,-37.04,-37.6,11470,48.5
1613.68,-37.26,-38.2,11490,48.5
1615.03,-35.95,-34.2,11510,49
1616.32,-36.69,-36.5,11530,49
1617.83,-36.32,-35.4,11550,49
1619.22,-37.18,-38.0,11570,49
1620.65,-36.72,-36.6,11590,49
1621.96,-36.66,-36.4,11610,49
1623.11,-37.84,-40.0,11630,49
1624.14,-38.85,-43.1,11650,49.5
1624.84,-40.56,-48.3,11670,49.5
1625.55,-40.32,-47.6,11690,50
1626.22,-39.40,-44.8,11710,50
1626.83,-39.69,-45.7,11730,50.5
1627.44,-40.33,-47.6,11750,51
1628.11,-41.34,-50.7,11770,51
1628.79,-39.57,-45.3,11790,51.5
1629.44,-40.91,-49.4,11810,52
1630.07,-40.16,-47.1,11830,52
1630.67,-40.25,-47.4,11850,52.5
1631.33,-41.77,-52.0,11870,53
1632.00,-40.79,-49.0,11890,53
1632.71,-40.18,-47.1,11910,53.5
1633.37,-40.33,-47.6,11930,54
1634.00,-39.25,-44.3,11950,54
1634.63,-40.79,-49.0,11970,54.5
1635.38,-40.26,-47.4,11990,55
1636.04,-40.18,-47.1,12010,55
1636.68,-40.08,-46.8,12030,55.5
1637.37,-40.13,-47.0,12050,56
1637.99,-39.81,-46.0,12070,56
1638.67,-40.62,-48.5,12090,56.5
1639.28,-40.68,-48.7,12110,57
1639.85,-41.51,-51.2,12130,57
1640.48,-39.52,-45.1,12150,57.5
1641.09,-41.63,-51.6,12170,57.5
1641.68,-40.86,-49.2,12190,58
1642.29,-38.56,-42.2,12210,58.5
1642.99,-41.18,-50.2,12230,58.5
1643.61,-40.88,-49.3,12250,59
1644.22,-40.79,-49.0,12270,59.5
1644.77,-39.58,-45.3,12290,59.5
1645.40,-41.14,-50.1,12310,60
1645.95,-40.29,-47.5,12330,60.5
1646.61,-41.80,-52.1,12350,60.5
1647.22,-38.83,-43.0,12370,61
1647.90,-40.29,-47.5,12390,61.5
1648.63,-41.10,-50.0,12410,61.5
1649.25,-39.65,-45.5,12430,62
1649.84,-40.20,-47.2,12450,62.5
1650.48,-40.86,-49.2,12470,62.5
1651.08,-40.48,-48.1,12490,63
1651.66,-41.57,-51.4,12510,63.5
1652.30,-41.61,-51.5,12530,63.5
1652.84,-41.11,-50.0,12550,64
1653.34,-41.64,-51.6,12570,64.5
1653.91,-39.96,-46.5,12590,64.5
1654.57,-42.35,-53.8,12610,65
1655.17,-40.53,-48.2,12630,65.5
1655.78,-41.82,-52.2,12650,65.5
1656.46,-41.82,-52.2,12670,66
1657.13,-42.04,-52.8,12690,66
1657.73,-41.86,-52.3,12710,66.5
1658.35,-40.31,-47.5,12730,67
1658.94,-40.64,-48.6,12750,67
1659.58,-41.21,-50.3,12770,67.5
1660.34,-39.22,-44.2,12790,68
1661.02,-39.53,-45.2,12810,68
1661.75,-38.70,-42.6,12830,68.5
1662.58,-39.35,-44.6,12850,69
1663.43,-37.89,-40.2,12870,69
1664.36,-38.01,-40.5,12890,69.5
1665.22,-38.95,-43.4,12910,69.5
1666.13,-37.68,-39.5,12930,70
1667.28,-38.24,-41.2,12950,70
1668.21,-38.79,-42.9,12970,70.5
1669.11,-38.72,-42.7,12990,70.5
1670.11,-38.80,-42.9,13010,71
1670.97,-38.96,-43.4,13030,71
1671.77,-39.41,-44.8,13050,71.5
1672.54,-39.65,-45.5,13070,71.5
1673.34,-40.51,-48.2,13090,72
1674.11,-40.19,-47.2,13110,72.5
1674.89,-39.46,-45.0,13130,72.5
1675.73,-39.93,-46.4,13150,73
1676.54,-40.54,-48.2,13170,73
1677.39,-39.08,-43.8,13190,73.5
1678.12,-39.45,-44.9,13210,73.5
1679.05,-39.39,-44.7,13230,74
