Proxy depth,d18O,Temperature,Published age,Age model error
(m),(VSMOW),(°„C),(yr BP),"(yr, 1¶“)"
1168.31,-33.90,-28.0,7630,18
1170.54,-34.01,-28.3,7650,18.5
1173.11,-34.65,-30.3,7670,18.5
1175.36,-34.26,-29.1,7690,18.5
1177.35,-34.09,-28.6,7710,19
1179.41,-34.75,-30.6,7730,19
1182.27,-34.35,-29.4,7750,19.5
1184.71,-34.13,-28.7,7770,19.5
1186.97,-33.76,-27.6,7790,19.5
1189.47,-34.35,-29.4,7810,20
1191.64,-34.40,-29.5,7830,20
1194.10,-34.62,-30.2,7850,20.5
1196.22,-34.98,-31.3,7870,20.5
1198.38,-34.51,-29.9,7890,20.5
1200.51,-34.78,-30.7,7910,21
1202.58,-34.83,-30.8,7930,21
1204.84,-33.60,-27.1,7950,21.5
1207.12,-34.04,-28.4,7970,21.5
1209.33,-34.40,-29.5,7990,21.5
1211.48,-34.43,-29.6,8010,22
1213.51,-35.05,-31.5,8030,22
1215.53,-34.51,-29.9,8050,22.5
1217.62,-34.50,-29.8,8070,22.5
1219.47,-33.96,-28.2,8090,22.5
1221.56,-35.44,-32.7,8110,23
1223.46,-35.68,-33.4,8130,23
1225.46,-35.54,-33.0,8150,23.5
1227.26,-36.06,-34.6,8170,23.5
1228.99,-35.88,-34.0,8190,23.5
1230.56,-36.03,-34.5,8210,24
1232.53,-35.21,-32.0,8230,24
1234.78,-35.68,-33.4,8250,24.5
1237.16,-34.50,-29.8,8270,24.5
1239.20,-34.70,-30.4,8290,24.5
1241.04,-34.87,-31.0,8310,25
1242.94,-34.95,-31.2,8330,25
1244.84,-34.41,-29.6,8350,25.5
1246.74,-35.36,-32.4,8370,25.5
1248.70,-34.79,-30.7,8390,25.5
1250.75,-34.46,-29.7,8410,26
1252.59,-35.07,-31.6,8430,26
1254.39,-34.70,-30.4,8450,26.5
1256.50,-34.43,-29.6,8470,26.5
1258.40,-34.83,-30.8,8490,26.5
1260.45,-34.99,-31.3,8510,27
1262.41,-34.59,-30.1,8530,27
1264.20,-34.35,-29.4,8550,27.5
1266.07,-34.83,-30.8,8570,27.5
1267.97,-34.18,-28.8,8590,27.5
1269.66,-35.02,-31.4,8610,28
1271.79,-35.46,-32.8,8630,28
1273.68,-35.21,-32.0,8650,28.5
1275.67,-34.01,-28.3,8670,28.5
1277.56,-34.92,-31.1,8690,29
1279.40,-34.49,-29.8,8710,29
1281.18,-35.34,-32.4,8730,29
1283.04,-34.22,-29.0,8750,29.5
1285.07,-35.57,-33.1,8770,29.5
1286.76,-35.22,-32.0,8790,30
1288.68,-34.08,-28.5,8810,30
1290.44,-35.15,-31.8,8830,30
1292.17,-34.57,-30.0,8850,30.5
1294.04,-34.17,-28.8,8870,30.5
1295.85,-34.30,-29.2,8890,31
1297.54,-34.71,-30.5,8910,31
1299.74,-34.57,-30.0,8930,31
1301.54,-34.47,-29.7,8950,31.5
1303.40,-34.68,-30.4,8970,31.5
1305.08,-35.57,-33.1,8990,32
1306.82,-35.18,-31.9,9010,32
1308.46,-34.92,-31.1,9030,32
1310.23,-34.73,-30.5,9050,32.5
1312.12,-34.61,-30.2,9070,32.5
1313.93,-34.98,-31.3,9090,33
1315.62,-34.47,-29.7,9110,33
1317.55,-34.34,-29.3,9130,33
1319.24,-34.70,-30.4,9150,33.5
1321.01,-34.83,-30.8,9170,33.5
1322.88,-34.92,-31.1,9190,34
1324.40,-35.62,-33.2,9210,34
1326.11,-35.66,-33.4,9230,34
1327.73,-36.05,-34.6,9250,34.5
1329.25,-35.19,-31.9,9270,34.5
1330.87,-35.04,-31.5,9290,35
1332.57,-34.91,-31.1,9310,35
1334.36,-34.56,-30.0,9330,35
1336.18,-34.87,-31.0,9350,35.5
1337.81,-34.80,-30.7,9370,35.5
1339.56,-34.83,-30.8,9390,36
1341.22,-35.12,-31.7,9410,36
1342.94,-35.12,-31.7,9430,36
1344.72,-34.92,-31.1,9450,36.5
1346.41,-34.66,-30.3,9470,36.5
1347.87,-35.01,-31.4,9490,37
1349.52,-34.56,-30.0,9510,37
1351.16,-34.98,-31.3,9530,37
1352.67,-35.13,-31.7,9550,37.5
1354.48,-34.95,-31.2,9570,37.5
1356.13,-34.77,-30.6,9590,38
1357.78,-34.96,-31.2,9610,38
1359.35,-34.85,-30.9,9630,38.5
1360.87,-34.84,-30.9,9650,38.5
1362.51,-34.62,-30.2,9670,38.5
1364.19,-34.68,-30.4,9690,39
1365.83,-34.87,-31.0,9710,39
1367.39,-34.66,-30.3,9730,39.5
1369.07,-34.49,-29.8,9750,39.5
1370.71,-35.12,-31.7,9770,39.5
1371.87,-35.37,-32.5,9790,40
1373.44,-35.22,-32.0,9810,40
1375.15,-34.54,-29.9,9830,40.5
1376.70,-35.06,-31.5,9850,40.5
1378.20,-35.26,-32.1,9870,40.5
1379.72,-34.85,-30.9,9890,41
1381.21,-35.46,-32.8,9910,41
1382.79,-34.65,-30.3,9930,41.5
1384.34,-35.10,-31.7,9950,41.5
1385.88,-34.94,-31.2,9970,41.5
1387.37,-35.11,-31.7,9990,42
1388.82,-35.79,-33.8,10010,42
1390.23,-35.21,-32.0,10030,42.5
1391.72,-35.32,-32.3,10050,42.5
1393.18,-35.29,-32.2,10070,42.5
1394.61,-35.45,-32.7,10090,43
1396.05,-34.99,-31.3,10110,43
1397.61,-35.02,-31.4,10130,43.5
1399.13,-34.89,-31.0,10150,43.5
1400.55,-35.93,-34.2,10170,43.5
1402.07,-35.54,-33.0,10190,44
1403.52,-36.33,-35.4,10210,44
1405.04,-36.39,-35.6,10230,44.5
1406.44,-36.01,-34.4,10250,44.5
1407.91,-36.01,-34.4,10270,44.5
1409.42,-35.20,-32.0,10290,44.5
1410.77,-36.12,-34.8,10310,44.5
1412.14,-36.18,-34.9,10330,44.5
1413.48,-36.36,-35.5,10350,44.5
1414.80,-35.96,-34.3,10370,45
1416.18,-36.12,-34.8,10390,45
1417.50,-36.04,-34.5,10410,45
1418.84,-35.53,-33.0,10430,45
1420.22,-36.34,-35.4,10450,45
1421.55,-35.46,-32.8,10470,45
1422.87,-35.73,-33.6,10490,45
1424.23,-35.86,-34.0,10510,45.5
1425.59,-35.99,-34.4,10530,45.5
1426.93,-35.89,-34.1,10550,45.5
1428.22,-36.12,-34.8,10570,45.5
1429.54,-36.13,-34.8,10590,45.5
1430.85,-36.16,-34.9,10610,45.5
1432.22,-35.50,-32.9,10630,45.5
1433.50,-35.77,-33.7,10650,46
1434.84,-36.05,-34.6,10670,46
1436.11,-36.45,-35.8,10690,46
1437.43,-35.88,-34.0,10710,46
1438.71,-36.22,-35.1,10730,46
1439.92,-36.83,-36.9,10750,46
1441.16,-35.84,-33.9,10770,46
1442.44,-36.59,-36.2,10790,46.5
1443.80,-36.09,-34.7,10810,46.5
1445.12,-37.23,-38.2,10830,46.5
1446.33,-37.60,-39.3,10850,46.5
1447.53,-37.25,-38.2,10870,46.5
1448.64,-37.15,-37.9,10890,46.5
1449.92,-37.00,-37.5,10910,46.5
1451.03,-38.01,-40.5,10930,47
1452.29,-36.53,-36.0,10950,47
1453.54,-37.05,-37.6,10970,47
1454.75,-36.44,-35.7,10990,47
1455.98,-36.64,-36.4,11010,47
1457.18,-36.89,-37.1,11030,47
1458.38,-37.11,-37.8,11050,47
1459.59,-36.71,-36.6,11070,47.5
1460.85,-36.43,-35.7,11090,47.5
1461.97,-37.13,-37.8,11110,47.5
1463.16,-36.62,-36.3,11130,47.5
1464.37,-37.25,-38.2,11150,47.5
