BP,New Zealand
76600,17.69387342
76700,17.72931646
76800,17.76475949
76900,17.8030303
77000,17.84343434
77100,17.88383838
77200,17.92424242
77300,17.95853165
77400,17.98891139
77500,18.01929114
77600,18.04967089
77700,18.07333333
77800,18.09353535
77900,18.11373737
78000,18.13393939
78100,18.16126582
78200,18.19164557
78300,18.22202532
78400,18.25240506
78500,18.27515152
78600,18.29535354
78700,18.31555556
78800,18.33575758
78900,18.352
79000,18.36718987
79100,18.38237975
79200,18.39756962
79300,18.40848485
79400,18.41858586
79500,18.42868687
79600,18.43878788
79700,18.46673418
79800,18.49711392
79900,18.52749367
80000,18.55787342
80100,18.58818182
80200,18.61848485
80300,18.64734177
80400,18.67265823
80500,18.69797468
80600,18.72329114
80700,18.74
80800,18.74
80900,18.74
81000,18.74
81100,18.7361519
81200,18.72602532
81300,18.71589873
81400,18.70577215
81500,18.68479798
81600,18.64944444
81700,18.61409091
81800,18.57873737
81900,18.53858228
82000,18.49301266
82100,18.44744304
82200,18.40187342
82300,18.3379798
82400,18.25717172
82500,18.17636364
82600,18.09555556
82700,18.02881013
82800,17.97311392
82900,17.91741772
83000,17.86172152
83100,17.80611111
83200,17.75055556
83300,17.695
83400,17.63944444
83500,17.59037975
83600,17.54481013
83700,17.49924051
83800,17.45367089
83900,17.39757576
84000,17.3369697
84100,17.27636364
84200,17.21575758
84300,17.15878481
84400,17.10308861
84500,17.04739241
84600,16.9916962
84700,16.93212121
84800,16.87151515
84900,16.81090909
85000,16.75030303
85100,16.70637975
85200,16.66587342
85300,16.62536709
85400,16.58486076
85500,16.56222222
85600,16.5420202
85700,16.52181818
85800,16.50161616
85900,16.54270042
86000,16.58911392
86100,16.63552743
86200,16.68194093
86300,16.71383648
86400,16.74528302
86500,16.77672956
86600,16.80727069
86700,16.8352349
86800,16.86319911
86900,16.882211
87000,16.87820266
87100,16.87419432
87200,16.88186628
87300,16.91553632
87400,16.94920635
87500,16.97631831
87600,16.9906999
87700,17.0050815
87800,17.00909091
87900,16.99466089
88000,16.98023088
88100,16.96955267
88200,16.96474266
88300,16.95993266
88400,16.95311601
88500,16.94352828
88600,16.93394056
88700,16.92645503
88800,16.92164502
88900,16.91683502
89000,16.90411255
89100,16.88246753
89200,16.8620326
89300,16.84285714
89400,16.82368169
89500,16.7995671
89600,16.77070707
89700,16.74184704
89800,16.71038961
89900,16.67671958
90000,16.64304954
90100,16.61217641
90200,16.58341323
90300,16.55465005
90400,16.52689394
90500,16.49983766
90600,16.47278139
90700,16.45075758
90800,16.43181818
90900,16.43529947
91000,16.45139239
91100,16.46748531
91200,16.48357823
91300,16.50016835
91400,16.51700337
91500,16.5423569
91600,16.5715376
91700,16.61227273
91800,16.65772727
91900,16.71055556
92000,16.76611111
92100,16.79439013
92200,16.81357698
92300,16.85307622
92400,16.8989899
92500,16.95564738
92600,17.01533517
92700,17.07502296
92800,17.13471074
92900,17.19789858
93000,17.26185473
93100,17.29178145
93200,17.31473829
93300,17.38842975
93400,17.47107438
93500,17.5137741
93600,17.55050505
93700,17.6117539
93800,17.67603306
93900,17.69470534
94000,17.70886706
94100,17.79363636
94200,17.88454545
94300,17.92639731
94400,17.96511785
94500,18.02592593
94600,18.08765432
94700,18.11898381
94800,18.14969291
94900,18.23809524
95000,18.32708033
95100,18.41480279
95200,18.44065657
95300,18.46651034
95400,18.49236412
95500,18.51822838
95600,18.54425693
95700,18.57028547
95800,18.59631402
95900,18.61454545
96000,18.55393939
96100,18.49333333
96200,18.43272727
96300,18.38327456
96400,18.40846348
96500,18.43365239
96600,18.45884131
96700,18.47191919
96800,18.42141414
96900,18.37090909
97000,18.32040404
97100,18.28100756
97200,18.28604534
97300,18.29108312
97400,18.29612091
97500,18.30348485
97600,18.31863636
97700,18.33378788
97800,18.34893939
97900,18.36045455
98000,18.36213805
98100,18.36382155
98200,18.36550505
98300,18.36015953
98400,18.33916877
98500,18.318178
98600,18.29718724
98700,18.29096521
98800,18.3134119
98900,18.33585859
99000,18.35266059
99100,18.35985139
99200,18.36704219
99300,18.37142857
99400,18.37142857
99500,18.37142857
99600,18.35728716
99700,18.32361712
99800,18.28994709
99900,18.27142857
100000,18.27142857
100100,18.27142857
100200,18.27142857
100300,18.27142857
100400,18.27142857
100500,18.2706269
100600,18.26902357
100700,18.26742023
100800,18.24295302
100900,18.19821029
101000,18.15346756
101100,18.13024691
101200,18.12463524
101300,18.11902357
101400,18.12641457
101500,18.14322129
101600,18.16002801
101700,18.17683473
101800,18.19364146
101900,18.21044818
102000,18.20959596
102100,18.19837262
102200,18.18714927
102300,18.21296296
102400,18.25785634
102500,18.30274972
102600,18.31611537
102700,18.3153164
102800,18.31451742
102900,18.33819144
103000,18.37186147
103100,18.40553151
103200,18.40716691
103300,18.3975469
103400,18.38792689
103500,18.37833174
103600,18.36874401
103700,18.35915628
103800,18.34194324
103900,18.32270322
104000,18.3034632
104100,18.29211159
104200,18.28249158
104300,18.27287157
104400,18.25920422
104500,18.24482263
104600,18.23044104
104700,18.18672439
104800,18.13862434
104900,18.09052429
105000,18.04675325
105100,18.0034632
105200,17.96017316
105300,17.9303931
105400,17.90162991
105500,17.87286673
105600,17.83030303
105700,17.78701299
105800,17.74372294
105900,17.70514671
106000,17.66666667
106100,17.62818792
106200,17.58983701
106300,17.5514861
106400,17.51183261
106500,17.43006253
106600,17.34829245
106700,17.26940837
106800,17.23573834
106900,17.2020683
107000,17.17186002
107100,17.17665388
107200,17.18144775
107300,17.18148148
107400,17.14300144
107500,17.1045214
107600,17.06940837
107700,17.05497835
107800,17.04054834
107900,17.02286673
108000,16.98930968
108100,16.95575264
108200,16.91874699
108300,16.86703944
108400,16.81533189
108500,16.7712963
108600,16.75446128
108700,16.73762626
108800,16.71330214
108900,16.6665107
109000,16.60730932
109100,16.52786017
109200,16.4497646
109300,16.43799435
109400,16.42622411
109500,16.41603376
109600,16.40665729
109700,16.39453861
109800,16.37570621
109900,16.35687382
110000,16.34679849
110100,16.3373823
110200,16.31723164
110300,16.28898305
110400,16.26864407
110500,16.27806026
110600,16.28747646
110700,16.29289077
110800,16.29759887
110900,16.31384181
111000,16.3420904
111100,16.37095104
111200,16.40390772
111300,16.43686441
111400,16.46619586
111500,16.49444444
111600,16.51111111
111700,16.51111111
111800,16.51205273
111900,16.53088512
112000,16.54971751
112100,16.58804143
112200,16.63512241
112300,16.68686441
112400,16.74806968
112500,16.80927495
112600,16.89788136
112700,16.98733522
112800,17.06797937
112900,17.14299109
113000,17.21581921
113100,17.28173258
113200,17.34764595
113300,17.41355932
113400,17.47947269
113500,17.54048964
113600,17.59698682
113700,17.66101695
113800,17.7645951
113900,17.86817326
114000,17.97175141
114100,18.07532957
114200,18.1747646
114300,18.26892655
114400,18.3645951
114500,18.47758945
114600,18.5905838
114700,18.66629002
114800,18.72749529
114900,18.77514124
115000,18.79868173
115100,18.82222222
115200,18.90696798
115300,18.99171375
115400,19.13370998
115500,19.3079096
115600,19.44651601
115700,19.49359699
115800,19.54067797
115900,19.54877589
116000,19.55348399
116100,19.58706048
116200,19.64331927
116300,19.6960452
116400,19.73370998
116500,19.77137476
116600,19.78950094
116700,19.80362524
116800,19.81111111
116900,19.81111111
117000,19.81991525
117100,19.89995292
117200,19.97999058
117300,20.01059322
117400,20.02471751
117500,19.98559322
117600,19.86318267
117700,19.74670433
117800,19.8220339
117900,19.89736347
118000,19.96953861
118100,20.04016008
118200,20.08888889
118300,20.08888889
118400,20.08888889
118500,20.04863465
118600,20.00626177
118700,19.97222222
118800,19.94397363
118900,19.9200565
119000,19.9106403
119100,19.90122411
119200,19.89180791
119300,19.88239171
119400,19.88495077
119500,19.89901547
119600,19.91770245
119700,19.96478343
119800,20.01186441
119900,20.01120527
120000,19.99708098
120100,19.97702448
120200,19.94877589
120300,19.92363465
120400,19.94717514
120500,19.97071563
120600,20.00414313
120700,20.04180791
120800,20.07467043
120900,20.09821092
121000,20.12175141
121100,20.12222222
121200,20.12222222
121300,20.09595104
121400,20.05357815
121500,20.02344633
121600,20.02815443
121700,20.03286252
121800,19.94858757
121900,19.85442561
122000,19.78568738
122100,19.7386064
122200,19.69915254
122300,19.69444444
122400,19.68973635
122500,19.61939736
122600,19.5346516
122700,19.45007032
122800,19.36568214
122900,19.28338041
123000,19.22217514
123100,19.16096987
123200,19.09632768
123300,19.03041431
123400,18.97146893
123500,18.92438795
123600,18.87707156
123700,18.80645009
123800,18.73582863
123900,18.72526483
124000,18.74703978
124100,18.74867585
124200,18.70100636
124300,18.65333686
124400,18.56133475
124500,18.46599576
124600,18.39179025
124700,18.33352754
124800,18.28527542
124900,18.2746822
125000,18.26408898
125100,18.25349576
125200,18.24290254
125300,18.23861229
125400,18.24088226
125500,18.24521792
125600,18.26337772
125700,18.28153753
125800,18.24842615
125900,18.2
126000,18.16772152
126100,18.15867993
126200,18.14936441
126300,18.13347458
126400,18.11758475
126500,18.10169492
126600,18.08580508
126700,18.06991525
126800,18.05402542
126900,18.03813559
127000,17.99173729
127100,17.9440678
127200,17.89639831
127300,17.84872881
127400,17.79879944
127500,17.74171375
127600,17.68462806
127700,17.586629
127800,17.48305085
127900,17.3819209
128000,17.28305085
128100,17.18719397
128200,17.10715631
128300,17.02711864
128400,16.95838041
128500,16.89246704
128600,16.81205273
128700,16.71318267
128800,16.61694915
128900,16.55103578
129000,16.48512241
129100,16.41920904
129200,16.35329567
129300,16.28410689
129400,16.20909517
129500,16.13408345
129600,16.11002825
129700,16.08648776
129800,16.07036252
129900,16.05859228
130000,16.05081719
130100,16.05384383
130200,16.05687046
130300,16.04153551
130400,16.02438458
130500,16.00346045
130600,15.97944915
130700,15.95941448
130800,15.95633282
130900,15.95325116
131000,15.95016949
131100,15.94708783
131200,15.94400616
131300,15.9409245
131400,15.93784284
131500,15.93476117
131600,15.93167951
131700,15.92859784
131800,15.92551618
131900,15.92243451
132000,15.92118644
132100,15.92683616
132200,15.93248588
132300,15.89045601
132400,15.84001211
